ADC Channel - Charge distribution	Counts - Charge distribution
-63,5	1
-58,5	1
-57,5	1
-56,5	1
-55,5	2
-54,5	1
-53,5	2
-52,5	3
-51,5	6
-50,5	10
-49,5	10
-48,5	12
-47,5	4
-46,5	13
-45,5	9
-44,5	23
-43,5	32
-42,5	40
-41,5	39
-40,5	50
-39,5	68
-38,5	73
-37,5	92
-36,5	100
-35,5	137
-34,5	177
-33,5	184
-32,5	214
-31,5	277
-30,5	349
-29,5	393
-28,5	508
-27,5	542
-26,5	638
-25,5	715
-24,5	923
-23,5	1012
-22,5	1167
-21,5	1400
-20,5	1573
-19,5	1758
-18,5	2017
-17,5	2149
-16,5	2463
-15,5	2831
-14,5	3133
-13,5	3478
-12,5	3866
-11,5	4279
-10,5	4513
-9,5	5063
-8,5	5374
-7,5	5805
-6,5	6228
-5,5	6702
-4,5	7146
-3,5	7541
-2,5	7647
-1,5	8163
-0,5	8276
0,5	8357
1,5	8320
2,5	8380
3,5	8305
4,5	8044
5,5	7927
6,5	7694
7,5	7437
8,5	7121
9,5	6555
10,5	6321
11,5	5808
12,5	5437
13,5	4990
14,5	4602
15,5	4117
16,5	3760
17,5	3460
18,5	3030
19,5	2658
20,5	2491
21,5	2146
22,5	1945
23,5	1733
24,5	1486
25,5	1259
26,5	1093
27,5	999
28,5	793
29,5	753
30,5	634
31,5	532
32,5	462
33,5	416
34,5	352
35,5	311
36,5	279
37,5	221
38,5	225
39,5	217
40,5	166
41,5	173
42,5	151
43,5	142
44,5	159
45,5	128
46,5	133
47,5	103
48,5	122
49,5	117
50,5	109
51,5	105
52,5	87
53,5	105
54,5	92
55,5	102
56,5	99
57,5	81
58,5	100
59,5	97
60,5	94
61,5	86
62,5	92
63,5	97
64,5	79
65,5	84
66,5	76
67,5	73
68,5	86
69,5	73
70,5	95
71,5	67
72,5	90
73,5	77
74,5	69
75,5	91
76,5	87
77,5	82
78,5	82
79,5	82
80,5	70
81,5	73
82,5	61
83,5	77
84,5	85
85,5	73
86,5	74
87,5	73
88,5	82
89,5	80
90,5	78
91,5	73
92,5	75
93,5	81
94,5	81
95,5	94
96,5	75
97,5	68
98,5	70
99,5	65
100,5	107
101,5	74
102,5	68
103,5	71
104,5	76
105,5	63
106,5	69
107,5	79
108,5	71
109,5	75
110,5	84
111,5	70
112,5	72
113,5	89
114,5	75
115,5	68
116,5	78
117,5	96
118,5	77
119,5	60
120,5	74
121,5	72
122,5	80
123,5	74
124,5	86
125,5	66
126,5	65
127,5	73
128,5	74
129,5	72
130,5	89
131,5	92
132,5	71
133,5	91
134,5	94
135,5	91
136,5	85
137,5	89
138,5	90
139,5	91
140,5	104
141,5	89
142,5	95
143,5	107
144,5	124
145,5	136
146,5	143
147,5	129
148,5	150
149,5	162
150,5	191
151,5	204
152,5	228
153,5	264
154,5	289
155,5	297
156,5	393
157,5	429
158,5	507
159,5	598
160,5	624
161,5	723
162,5	873
163,5	906
164,5	1091
165,5	1217
166,5	1439
167,5	1546
168,5	1814
169,5	2136
170,5	2296
171,5	2591
172,5	2895
173,5	3101
174,5	3508
175,5	3808
176,5	4272
177,5	4648
178,5	5082
179,5	5431
180,5	5898
181,5	6429
182,5	6780
183,5	7100
184,5	7311
185,5	7734
186,5	7941
187,5	8233
188,5	8365
189,5	8620
190,5	8783
191,5	8824
192,5	8984
193,5	8761
194,5	8394
195,5	8274
196,5	8194
197,5	8020
198,5	7754
199,5	7243
200,5	7039
201,5	6574
202,5	6008
203,5	5729
204,5	5382
205,5	5072
206,5	4619
207,5	4177
208,5	3825
209,5	3509
210,5	3225
211,5	3027
212,5	2724
213,5	2342
214,5	2177
215,5	1955
216,5	1717
217,5	1634
218,5	1488
219,5	1306
220,5	1184
221,5	1114
222,5	1030
223,5	923
224,5	823
225,5	843
226,5	715
227,5	696
228,5	600
229,5	570
230,5	594
231,5	554
232,5	494
233,5	485
234,5	508
235,5	491
236,5	464
237,5	482
238,5	444
239,5	482
240,5	426
241,5	431
242,5	412
243,5	449
244,5	421
245,5	407
246,5	424
247,5	416
248,5	402
249,5	399
250,5	392
251,5	417
252,5	391
253,5	408
254,5	380
255,5	392
256,5	397
257,5	398
258,5	382
259,5	338
260,5	395
261,5	390
262,5	375
263,5	358
264,5	352
265,5	345
266,5	333
267,5	362
268,5	364
269,5	337
270,5	359
271,5	334
272,5	346
273,5	346
274,5	313
275,5	355
276,5	333
277,5	311
278,5	300
279,5	287
280,5	318
281,5	324
282,5	299
283,5	309
284,5	317
285,5	282
286,5	292
287,5	272
288,5	315
289,5	317
290,5	298
291,5	277
292,5	265
293,5	258
294,5	259
295,5	263
296,5	246
297,5	278
298,5	261
299,5	264
300,5	246
301,5	271
302,5	224
303,5	251
304,5	256
305,5	246
306,5	259
307,5	230
308,5	265
309,5	228
310,5	229
311,5	259
312,5	209
313,5	236
314,5	227
315,5	211
316,5	229
317,5	234
318,5	220
319,5	219
320,5	232
321,5	224
322,5	224
323,5	207
324,5	230
325,5	210
326,5	187
327,5	230
