ADC Channel - Charge distribution	Counts - Charge distribution
-66,5	1
-60,5	1
-59,5	2
-58,5	1
-57,5	1
-56,5	1
-55,5	2
-54,5	1
-53,5	3
-52,5	4
-51,5	4
-50,5	3
-49,5	7
-48,5	15
-47,5	22
-46,5	19
-45,5	25
-44,5	34
-43,5	40
-42,5	42
-41,5	74
-40,5	63
-39,5	99
-38,5	125
-37,5	114
-36,5	157
-35,5	175
-34,5	223
-33,5	272
-32,5	308
-31,5	387
-30,5	457
-29,5	520
-28,5	627
-27,5	705
-26,5	899
-25,5	938
-24,5	1137
-23,5	1297
-22,5	1524
-21,5	1751
-20,5	1901
-19,5	2158
-18,5	2346
-17,5	2763
-16,5	3083
-15,5	3300
-14,5	3714
-13,5	4178
-12,5	4659
-11,5	5117
-10,5	5513
-9,5	6039
-8,5	6436
-7,5	6981
-6,5	7501
-5,5	7797
-4,5	8361
-3,5	8509
-2,5	8978
-1,5	9239
-0,5	9533
0,5	9579
1,5	9605
2,5	9662
3,5	9672
4,5	9594
5,5	9484
6,5	9079
7,5	8727
8,5	8422
9,5	7877
10,5	7398
11,5	6845
12,5	6620
13,5	5995
14,5	5585
15,5	5149
16,5	4614
17,5	4141
18,5	3782
19,5	3407
20,5	2960
21,5	2773
22,5	2439
23,5	2194
24,5	1914
25,5	1669
26,5	1455
27,5	1301
28,5	1115
29,5	1017
30,5	843
31,5	735
32,5	597
33,5	556
34,5	511
35,5	429
36,5	374
37,5	327
38,5	290
39,5	239
40,5	246
41,5	211
42,5	192
43,5	191
44,5	192
45,5	153
46,5	142
47,5	143
48,5	150
49,5	139
50,5	136
51,5	124
52,5	132
53,5	123
54,5	125
55,5	127
56,5	111
57,5	116
58,5	113
59,5	102
60,5	115
61,5	111
62,5	110
63,5	127
64,5	90
65,5	96
66,5	110
67,5	98
68,5	104
69,5	101
70,5	86
71,5	111
72,5	88
73,5	95
74,5	85
75,5	101
76,5	89
77,5	100
78,5	86
79,5	96
80,5	90
81,5	80
82,5	91
83,5	98
84,5	88
85,5	85
86,5	81
87,5	93
88,5	86
89,5	99
90,5	105
91,5	89
92,5	103
93,5	84
94,5	73
95,5	99
96,5	79
97,5	73
98,5	79
99,5	77
100,5	76
101,5	81
102,5	86
103,5	76
104,5	78
105,5	106
106,5	81
107,5	88
108,5	81
109,5	72
110,5	85
111,5	82
112,5	71
113,5	96
114,5	71
115,5	80
116,5	84
117,5	98
118,5	69
119,5	74
120,5	75
121,5	101
122,5	60
123,5	86
124,5	84
125,5	84
126,5	85
127,5	85
128,5	83
129,5	77
130,5	77
131,5	114
132,5	72
133,5	88
134,5	66
135,5	78
136,5	77
137,5	94
138,5	81
139,5	82
140,5	112
141,5	77
142,5	90
143,5	93
144,5	82
145,5	86
146,5	99
147,5	92
148,5	85
149,5	92
150,5	80
151,5	97
152,5	98
153,5	96
154,5	97
155,5	103
156,5	117
157,5	108
158,5	105
159,5	123
160,5	128
161,5	119
162,5	129
163,5	124
164,5	136
165,5	158
166,5	172
167,5	191
168,5	177
169,5	222
170,5	241
171,5	245
172,5	295
173,5	317
174,5	360
175,5	449
176,5	439
177,5	534
178,5	574
179,5	673
180,5	832
181,5	850
182,5	1024
183,5	1182
184,5	1342
185,5	1505
186,5	1659
187,5	1888
188,5	2130
189,5	2407
190,5	2713
191,5	3037
192,5	3348
193,5	3724
194,5	4195
195,5	4350
196,5	4855
197,5	5432
198,5	5826
199,5	6302
200,5	6595
201,5	7277
202,5	7606
203,5	8015
204,5	8498
205,5	8735
206,5	9207
207,5	9463
208,5	10009
209,5	9928
210,5	10017
211,5	10203
212,5	10064
213,5	10175
214,5	9840
215,5	9824
216,5	9496
217,5	9309
218,5	8934
219,5	8423
220,5	8225
221,5	7807
222,5	7499
223,5	6870
224,5	6554
225,5	6111
226,5	5508
227,5	5188
228,5	4972
229,5	4248
230,5	4140
231,5	3733
232,5	3322
233,5	3102
234,5	2829
235,5	2582
236,5	2345
237,5	2063
238,5	1833
239,5	1784
240,5	1557
241,5	1440
242,5	1281
243,5	1237
244,5	1061
245,5	1012
246,5	995
247,5	850
248,5	815
249,5	725
250,5	711
251,5	698
252,5	654
253,5	661
254,5	645
255,5	588
256,5	587
257,5	605
258,5	590
259,5	596
260,5	583
261,5	591
262,5	561
263,5	561
264,5	581
265,5	580
266,5	585
267,5	567
268,5	532
269,5	564
270,5	495
271,5	519
272,5	598
273,5	541
274,5	536
275,5	516
276,5	486
277,5	510
278,5	504
279,5	528
280,5	482
281,5	493
282,5	469
283,5	511
284,5	473
285,5	484
286,5	494
287,5	467
288,5	470
289,5	469
290,5	457
291,5	441
292,5	459
293,5	454
294,5	458
295,5	479
296,5	448
297,5	436
298,5	421
299,5	463
300,5	427
301,5	427
302,5	430
303,5	447
304,5	440
305,5	442
306,5	390
307,5	431
308,5	390
309,5	431
310,5	392
311,5	418
312,5	397
313,5	407
314,5	388
315,5	352
316,5	389
317,5	374
318,5	374
319,5	340
320,5	354
321,5	350
322,5	325
323,5	347
324,5	375
325,5	321
326,5	337
327,5	347
328,5	373
329,5	323
330,5	326
331,5	334
332,5	302
333,5	314
334,5	330
335,5	326
336,5	299
337,5	305
338,5	320
339,5	328
340,5	300
341,5	322
342,5	332
343,5	294
344,5	308
345,5	309
346,5	312
347,5	268
348,5	300
349,5	273
350,5	300
351,5	288
352,5	294
353,5	290
354,5	265
355,5	271
356,5	288
357,5	250
358,5	248
359,5	275
360,5	271
361,5	274
362,5	281
363,5	248
364,5	265
365,5	257
366,5	257
367,5	239
368,5	259
369,5	230
370,5	263
371,5	290
372,5	278
373,5	269
374,5	315
375,5	264
376,5	308
377,5	292
378,5	327
379,5	349
380,5	306
381,5	339
382,5	344
383,5	401
384,5	431
385,5	458
386,5	477
387,5	549
388,5	558
389,5	646
390,5	733
391,5	717
392,5	808
393,5	963
394,5	1013
395,5	1100
396,5	1225
397,5	1370
398,5	1583
399,5	1698
400,5	1807
401,5	2042
402,5	2162
403,5	2226
404,5	2564
405,5	2701
406,5	2872
407,5	3320
408,5	3428
409,5	3610
410,5	3882
411,5	4112
412,5	4303
413,5	4598
414,5	4692
415,5	4862
416,5	5051
417,5	5295
418,5	5481
419,5	5337
420,5	5624
421,5	5755
422,5	5627
423,5	5627
424,5	5783
425,5	5666
426,5	5491
427,5	5567
428,5	5448
429,5	5231
430,5	5089
431,5	4951
432,5	4624
433,5	4518
434,5	4352
435,5	4128
436,5	3983
437,5	3677
438,5	3414
439,5	3334
440,5	2982
441,5	2813
442,5	2599
443,5	2535
444,5	2309
445,5	2177
446,5	1933
447,5	1915
448,5	1615
449,5	1617
450,5	1417
451,5	1375
452,5	1317
453,5	1152
454,5	1126
455,5	1045
456,5	978
457,5	968
458,5	877
459,5	872
460,5	819
461,5	730
462,5	782
463,5	689
464,5	701
465,5	633
466,5	611
467,5	637
468,5	662
469,5	630
470,5	650
471,5	645
472,5	596
473,5	664
474,5	617
475,5	632
476,5	646
477,5	671
478,5	653
479,5	640
480,5	640
481,5	635
482,5	618
483,5	623
484,5	619
485,5	615
486,5	630
487,5	609
488,5	589
489,5	562
490,5	577
491,5	577
492,5	591
493,5	560
494,5	536
495,5	547
496,5	543
497,5	546
498,5	515
499,5	548
500,5	508
501,5	562
502,5	553
503,5	516
504,5	510
505,5	556
506,5	463
507,5	527
508,5	503
509,5	531
510,5	508
511,5	513
512,5	522
513,5	473
514,5	534
515,5	511
516,5	503
517,5	504
518,5	448
519,5	464
520,5	460
521,5	467
522,5	494
523,5	438
524,5	445
525,5	438
