Type;FSVR-7;
Version;2.23 SP1;
Date;21.Sep 21;
Mode;ANALYZER;
Center Freq;126781.200000;Hz
Freq Offset;0.000000;Hz
Span;100.000000;Hz
x-Axis;LIN;
Start;126731.200000;Hz
Stop;126831.200000;Hz
Ref Level;-92.300000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;20.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;1.000000;Hz
VBW;1.000000;Hz
SWT;1.894590;s
Trace Mode;VIEW;
Detector;SAMPLE;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
126731.2;-102.61223602294922;
126731.203125;-102.61408996582031;
126731.20625;-102.61602020263672;
126731.20937500001;-102.6180419921875;
126731.21250000001;-102.62010955810547;
126731.21562500001;-102.62226104736328;
126731.21875000001;-102.62448120117187;
126731.22187500002;-102.62679290771484;
126731.22500000002;-102.62916564941406;
126731.22812500002;-102.63162231445312;
126731.23125000003;-102.63414001464844;
126731.23437500003;-102.63673400878906;
126731.23750000003;-102.63941955566406;
126731.24062500003;-102.64215850830078;
126731.24375000004;-102.64500427246094;
126731.24687500004;-102.64790344238281;
126731.25000000004;-102.65088653564453;
126731.25312500005;-102.65394592285156;
126731.25625000005;-102.65709686279297;
126731.25937500005;-102.66033172607422;
126731.26250000006;-102.66362762451172;
126731.26562500006;-102.66701507568359;
126731.26875000006;-102.67050933837891;
126731.27187500006;-102.67406463623047;
126731.27500000007;-102.67772674560547;
126731.27812500007;-102.68145751953125;
126731.28125000007;-102.68528747558594;
126731.28437500008;-102.68920135498047;
126731.28750000008;-102.69322204589844;
126731.29062500008;-102.69733428955078;
126731.29375000008;-102.7015380859375;
126731.29687500009;-102.70585632324219;
126731.30000000009;-102.71027374267578;
126731.30312500009;-102.71478271484375;
126731.3062500001;-102.71939086914062;
126731.3093750001;-102.72412109375;
126731.3125000001;-102.72894287109375;
126731.3156250001;-102.73386383056641;
126731.31875000011;-102.73890686035156;
126731.32187500011;-102.74407196044922;
126731.32500000011;-102.74936676025391;
126731.32812500012;-102.75473785400391;
126731.33125000012;-102.76024627685547;
126731.33437500012;-102.76589965820312;
126731.33750000013;-102.77162933349609;
126731.34062500013;-102.77751159667969;
126731.34375000013;-102.78350830078125;
126731.34687500013;-102.78964996337891;
126731.35000000014;-102.79592132568359;
126731.35312500014;-102.80229187011719;
126731.35625000014;-102.80880737304687;
126731.35937500015;-102.81546020507812;
126731.36250000015;-102.82225036621094;
126731.36562500015;-102.82919311523437;
126731.36875000015;-102.83625030517578;
126731.37187500016;-102.84346008300781;
126731.37500000016;-102.85078430175781;
126731.37812500016;-102.85826110839844;
126731.38125000017;-102.86589050292969;
126731.38437500017;-102.87363433837891;
126731.38750000017;-102.88155364990234;
126731.39062500017;-102.88957214355469;
126731.39375000018;-102.89776611328125;
126731.39687500018;-102.90607452392578;
126731.40000000018;-102.91452789306641;
126731.40312500019;-102.92313385009766;
126731.40625000019;-102.93186187744141;
126731.40937500019;-102.94072723388672;
126731.41250000019;-102.94972229003906;
126731.4156250002;-102.95885467529297;
126731.4187500002;-102.96809387207031;
126731.4218750002;-102.97748565673828;
126731.42500000021;-102.98697662353516;
126731.42812500021;-102.99660491943359;
126731.43125000021;-103.00634002685547;
126731.43437500022;-103.01617431640625;
126731.43750000022;-103.02611541748047;
126731.44062500022;-103.03615570068359;
126731.44375000022;-103.04628753662109;
126731.44687500023;-103.05651092529297;
126731.45000000023;-103.06678009033203;
126731.45312500023;-103.0771484375;
126731.45625000024;-103.08756256103516;
126731.45937500024;-103.09803009033203;
126731.46250000024;-103.10853576660156;
126731.46562500024;-103.11907958984375;
126731.46875000025;-103.12963104248047;
126731.47187500025;-103.14021301269531;
126731.47500000025;-103.15076446533203;
126731.47812500026;-103.16130828857422;
126731.48125000026;-103.17182922363281;
126731.48437500026;-103.18231201171875;
126731.48750000026;-103.19272613525391;
126731.49062500027;-103.20308685302734;
126731.49375000027;-103.21334838867187;
126731.49687500027;-103.22351837158203;
126731.50000000028;-103.23357391357422;
126731.50312500028;-103.24351501464844;
126731.50625000028;-103.25330352783203;
126731.50937500029;-103.262939453125;
126731.51250000029;-103.27242279052734;
126731.51562500029;-103.28172302246094;
126731.51875000029;-103.29081726074219;
126731.5218750003;-103.29969787597656;
126731.5250000003;-103.30837249755859;
126731.5281250003;-103.31678771972656;
126731.53125000031;-103.32496643066406;
126731.53437500031;-103.33286285400391;
126731.53750000031;-103.34046936035156;
126731.54062500031;-103.34780120849609;
126731.54375000032;-103.35479736328125;
126731.54687500032;-103.36147308349609;
126731.55000000032;-103.3677978515625;
126731.55312500033;-103.37377166748047;
126731.55625000033;-103.37936401367187;
126731.55937500033;-103.38455200195312;
126731.56250000033;-103.38933563232422;
126731.56562500034;-103.39368438720703;
126731.56875000034;-103.39761352539062;
126731.57187500034;-103.40108489990234;
126731.57500000035;-103.40408325195312;
126731.57812500035;-103.40663146972656;
126731.58125000035;-103.40869140625;
126731.58437500036;-103.41027069091797;
126731.58750000036;-103.41138458251953;
126731.59062500036;-103.41200256347656;
126731.59375000036;-103.41218566894531;
126731.59687500037;-103.41190338134766;
126731.60000000037;-103.41117858886719;
126731.60312500037;-103.4100341796875;
126731.60625000038;-103.40847778320312;
126731.60937500038;-103.40656280517578;
126731.61250000038;-103.40426635742187;
126731.61562500038;-103.40167236328125;
126731.61875000039;-103.39878082275391;
126731.62187500039;-103.39559936523437;
126731.62500000039;-103.39217376708984;
126731.6281250004;-103.38855743408203;
126731.6312500004;-103.38473510742187;
126731.6343750004;-103.38075256347656;
126731.6375000004;-103.37664031982422;
126731.64062500041;-103.37242889404297;
126731.64375000041;-103.36814880371094;
126731.64687500041;-103.36378479003906;
126731.65000000042;-103.35939788818359;
126731.65312500042;-103.35498809814453;
126731.65625000042;-103.35055541992187;
126731.65937500042;-103.34616851806641;
126731.66250000043;-103.34181213378906;
126731.66562500043;-103.33748626708984;
126731.66875000043;-103.33324432373047;
126731.67187500044;-103.32905578613281;
126731.67500000044;-103.32493591308594;
126731.67812500044;-103.32093048095703;
126731.68125000045;-103.31704711914062;
126731.68437500045;-103.31324005126953;
126731.68750000045;-103.3095703125;
126731.69062500045;-103.30603790283203;
126731.69375000046;-103.30262756347656;
126731.69687500046;-103.29934692382812;
126731.70000000046;-103.29624176025391;
126731.70312500047;-103.29324340820312;
126731.70625000047;-103.29043579101562;
126731.70937500047;-103.28776550292969;
126731.71250000047;-103.28527069091797;
126731.71562500048;-103.28293609619141;
126731.71875000048;-103.28076934814453;
126731.72187500048;-103.27879333496094;
126731.72500000049;-103.2769775390625;
126731.72812500049;-103.27534484863281;
126731.73125000049;-103.27389526367187;
126731.73437500049;-103.27262878417969;
126731.7375000005;-103.27154541015625;
126731.7406250005;-103.27064514160156;
126731.7437500005;-103.26995086669922;
126731.74687500051;-103.26943206787109;
126731.75000000051;-103.26911163330078;
126731.75312500051;-103.26899719238281;
126731.75625000052;-103.26906585693359;
126731.75937500052;-103.26933288574219;
126731.76250000052;-103.26981353759766;
126731.76562500052;-103.27048492431641;
126731.76875000053;-103.2713623046875;
126731.77187500053;-103.27245330810547;
126731.77500000053;-103.27372741699219;
126731.77812500054;-103.27524566650391;
126731.78125000054;-103.27693939208984;
126731.78437500054;-103.27886199951172;
126731.78750000054;-103.28099060058594;
126731.79062500055;-103.28333282470703;
126731.79375000055;-103.28588104248047;
126731.79687500055;-103.28866577148437;
126731.80000000056;-103.29164886474609;
126731.80312500056;-103.29485321044922;
126731.80625000056;-103.29827117919922;
126731.80937500056;-103.30191802978516;
126731.81250000057;-103.3057861328125;
126731.81562500057;-103.30986785888672;
126731.81875000057;-103.31419372558594;
126731.82187500058;-103.31870269775391;
126731.82500000058;-103.32347106933594;
126731.82812500058;-103.32846069335937;
126731.83125000058;-103.33367919921875;
126731.83437500059;-103.33911895751953;
126731.83750000059;-103.34478759765625;
126731.84062500059;-103.35070037841797;
126731.8437500006;-103.35684204101562;
126731.8468750006;-103.36320495605469;
126731.8500000006;-103.36984252929687;
126731.85312500061;-103.37667083740234;
126731.85625000061;-103.38375091552734;
126731.85937500061;-103.39108276367187;
126731.86250000061;-103.39864349365234;
126731.86562500062;-103.40644836425781;
126731.86875000062;-103.41450500488281;
126731.87187500062;-103.42279815673828;
126731.87500000063;-103.43133544921875;
126731.87812500063;-103.44011688232422;
126731.88125000063;-103.44915008544922;
126731.88437500063;-103.45844268798828;
126731.88750000064;-103.46797180175781;
126731.89062500064;-103.47775268554687;
126731.89375000064;-103.48780059814453;
126731.89687500065;-103.49810028076172;
126731.90000000065;-103.5086669921875;
126731.90312500065;-103.51946258544922;
126731.90625000065;-103.53052520751953;
126731.90937500066;-103.5418701171875;
126731.91250000066;-103.553466796875;
126731.91562500066;-103.56533050537109;
126731.91875000067;-103.57744598388672;
126731.92187500067;-103.58984375;
126731.92500000067;-103.60253143310547;
126731.92812500068;-103.61546325683594;
126731.93125000068;-103.628662109375;
126731.93437500068;-103.64217376708984;
126731.93750000068;-103.65594482421875;
126731.94062500069;-103.66998291015625;
126731.94375000069;-103.68431854248047;
126731.94687500069;-103.69895172119141;
126731.9500000007;-103.71385192871094;
126731.9531250007;-103.72905731201172;
126731.9562500007;-103.74455261230469;
126731.9593750007;-103.76034545898437;
126731.96250000071;-103.77642822265625;
126731.96562500071;-103.79283905029297;
126731.96875000071;-103.80955505371094;
126731.97187500072;-103.82656860351562;
126731.97500000072;-103.84391784667969;
126731.97812500072;-103.86156463623047;
126731.98125000072;-103.87954711914062;
126731.98437500073;-103.89787292480469;
126731.98750000073;-103.91651153564453;
126731.99062500073;-103.93549346923828;
126731.99375000074;-103.95484924316406;
126731.99687500074;-103.97452545166016;
126732.00000000074;-103.99458312988281;
126732.00312500075;-104.01499938964844;
126732.00625000075;-104.03577423095703;
126732.00937500075;-104.05693054199219;
126732.01250000075;-104.07848358154297;
126732.01562500076;-104.10041046142578;
126732.01875000076;-104.12271881103516;
126732.02187500076;-104.14543151855469;
126732.02500000077;-104.16851043701172;
126732.02812500077;-104.19198608398437;
126732.03125000077;-104.21582794189453;
126732.03437500077;-104.24000549316406;
126732.03750000078;-104.26448822021484;
126732.04062500078;-104.28925323486328;
126732.04375000078;-104.314208984375;
126732.04687500079;-104.33927917480469;
126732.05000000079;-104.36431884765625;
126732.05312500079;-104.38919830322266;
126732.05625000079;-104.41370391845703;
126732.0593750008;-104.43754577636719;
126732.0625000008;-104.46046447753906;
126732.0656250008;-104.48208618164062;
126732.06875000081;-104.50197601318359;
126732.07187500081;-104.51981353759766;
126732.07500000081;-104.53521728515625;
126732.07812500081;-104.54795074462891;
126732.08125000082;-104.55787658691406;
126732.08437500082;-104.56497955322266;
126732.08750000082;-104.56941986083984;
126732.09062500083;-104.57143402099609;
126732.09375000083;-104.57138061523437;
126732.09687500083;-104.56961059570312;
126732.10000000084;-104.56645965576172;
126732.10312500084;-104.56217956542969;
126732.10625000084;-104.55709838867187;
126732.10937500084;-104.55133819580078;
126732.11250000085;-104.54505157470703;
126732.11562500085;-104.53835296630859;
126732.11875000085;-104.53126525878906;
126732.12187500086;-104.52379608154297;
126732.12500000086;-104.51597595214844;
126732.12812500086;-104.50776672363281;
126732.13125000086;-104.49912261962891;
126732.13437500087;-104.49002075195312;
126732.13750000087;-104.48038482666016;
126732.14062500087;-104.47018432617187;
126732.14375000088;-104.45935821533203;
126732.14687500088;-104.44788360595703;
126732.15000000088;-104.43574523925781;
126732.15312500088;-104.42290496826172;
126732.15625000089;-104.40935516357422;
