Format,1.0B,
Memory Length,10000,Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,IntpDistance,0,
Trigger Address,-2251,Trigger Address,-2251,Trigger Address,-2251,
Trigger Level,-3.200E-01,Trigger Level,-3.200E-01,Trigger Level,-3.200E-01,
Source,CH2,Source,CH3,Source,CH4,
Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,15,Vertical Units Extend Div,15,Vertical Units Extend Div,15,
Label, ,Label, ,Label, ,
Probe Type,0,Probe Type,0,Probe Type,0,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,Vertical Scale,5.000E-02,Vertical Scale,2.000E+00,
Vertical Position,2.840E+00,Vertical Position,2.000E-01,Vertical Position,-8.000E-02,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-04,Horizontal Scale,5.000E-04,Horizontal Scale,5.000E-04,
Horizontal Position,3.625E-03,Horizontal Position,3.625E-03,Horizontal Position,3.625E-03,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,5.000E-07,Sampling Period,5.000E-07,Sampling Period,5.000E-07,
Horizontal Old Scale,5.000E-04,Horizontal Old Scale,5.000E-04,Horizontal Old Scale,5.000E-04,
Horizontal Old Position,3.625E-03,Horizontal Old Position,3.625E-03,Horizontal Old Position,3.625E-03,
Firmware,V1.09,Firmware,V1.09,Firmware,V1.09,
Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,
1.125000e-03,2.720000,1.125000e-03,0.014000,1.125000e-03,1.600000,
1.125500e-03,2.720000,1.125500e-03,0.018000,1.125500e-03,1.600000,
1.126000e-03,2.720000,1.126000e-03,0.010000,1.126000e-03,1.600000,
1.126500e-03,2.720000,1.126500e-03,0.012000,1.126500e-03,1.600000,
1.127000e-03,2.720000,1.127000e-03,0.010000,1.127000e-03,1.600000,
1.127500e-03,2.760000,1.127500e-03,0.006000,1.127500e-03,1.600000,
1.128000e-03,2.720000,1.128000e-03,0.012000,1.128000e-03,1.600000,
1.128500e-03,2.720000,1.128500e-03,0.006000,1.128500e-03,1.600000,
1.129000e-03,2.720000,1.129000e-03,0.012000,1.129000e-03,1.600000,
1.129500e-03,2.720000,1.129500e-03,0.004000,1.129500e-03,1.600000,
1.130000e-03,2.720000,1.130000e-03,0.004000,1.130000e-03,1.600000,
1.130500e-03,2.720000,1.130500e-03,0.010000,1.130500e-03,1.600000,
1.131000e-03,2.720000,1.131000e-03,0.006000,1.131000e-03,1.600000,
1.131500e-03,2.720000,1.131500e-03,0.010000,1.131500e-03,1.600000,
1.132000e-03,2.720000,1.132000e-03,0.010000,1.132000e-03,1.600000,
1.132500e-03,2.720000,1.132500e-03,0.010000,1.132500e-03,1.600000,
1.133000e-03,2.720000,1.133000e-03,0.006000,1.133000e-03,1.600000,
1.133500e-03,2.720000,1.133500e-03,0.006000,1.133500e-03,1.600000,
1.134000e-03,2.720000,1.134000e-03,0.000000,1.134000e-03,1.600000,
1.134500e-03,2.760000,1.134500e-03,0.000000,1.134500e-03,1.600000,
1.135000e-03,2.720000,1.135000e-03,0.004000,1.135000e-03,1.600000,
1.135500e-03,2.720000,1.135500e-03,0.012000,1.135500e-03,1.680000,
1.136000e-03,2.720000,1.136000e-03,0.006000,1.136000e-03,1.600000,
1.136500e-03,2.760000,1.136500e-03,0.010000,1.136500e-03,1.680000,
1.137000e-03,2.720000,1.137000e-03,0.004000,1.137000e-03,1.600000,
1.137500e-03,2.720000,1.137500e-03,0.012000,1.137500e-03,1.680000,
1.138000e-03,2.720000,1.138000e-03,-0.006000,1.138000e-03,1.600000,
1.138500e-03,2.720000,1.138500e-03,0.004000,1.138500e-03,1.600000,
1.139000e-03,2.720000,1.139000e-03,0.012000,1.139000e-03,1.600000,
1.139500e-03,2.720000,1.139500e-03,0.002000,1.139500e-03,1.600000,
1.140000e-03,2.720000,1.140000e-03,0.000000,1.140000e-03,1.680000,
1.140500e-03,2.720000,1.140500e-03,0.004000,1.140500e-03,1.680000,
1.141000e-03,2.720000,1.141000e-03,0.012000,1.141000e-03,1.600000,
1.141500e-03,2.720000,1.141500e-03,0.000000,1.141500e-03,1.680000,
1.142000e-03,2.720000,1.142000e-03,0.012000,1.142000e-03,1.680000,
1.142500e-03,2.720000,1.142500e-03,-0.004000,1.142500e-03,1.680000,
1.143000e-03,2.720000,1.143000e-03,-0.004000,1.143000e-03,1.680000,
1.143500e-03,2.720000,1.143500e-03,0.006000,1.143500e-03,1.680000,
1.144000e-03,2.720000,1.144000e-03,0.002000,1.144000e-03,1.600000,
1.144500e-03,2.720000,1.144500e-03,0.002000,1.144500e-03,1.680000,
1.145000e-03,2.720000,1.145000e-03,0.002000,1.145000e-03,1.680000,
1.145500e-03,2.760000,1.145500e-03,0.002000,1.145500e-03,1.680000,
1.146000e-03,2.720000,1.146000e-03,0.000000,1.146000e-03,1.680000,
1.146500e-03,2.720000,1.146500e-03,0.000000,1.146500e-03,1.680000,
1.147000e-03,2.720000,1.147000e-03,0.004000,1.147000e-03,1.680000,
1.147500e-03,2.720000,1.147500e-03,-0.008000,1.147500e-03,1.680000,
1.148000e-03,2.720000,1.148000e-03,0.002000,1.148000e-03,1.680000,
1.148500e-03,2.720000,1.148500e-03,0.000000,1.148500e-03,1.680000,
1.149000e-03,2.760000,1.149000e-03,0.002000,1.149000e-03,1.680000,
1.149500e-03,2.720000,1.149500e-03,0.004000,1.149500e-03,1.680000,
1.150000e-03,2.720000,1.150000e-03,0.002000,1.150000e-03,1.680000,
1.150500e-03,2.760000,1.150500e-03,-0.004000,1.150500e-03,1.680000,
1.151000e-03,2.720000,1.151000e-03,-0.004000,1.151000e-03,1.680000,
1.151500e-03,2.760000,1.151500e-03,0.002000,1.151500e-03,1.680000,
1.152000e-03,2.720000,1.152000e-03,0.002000,1.152000e-03,1.680000,
1.152500e-03,2.720000,1.152500e-03,-0.004000,1.152500e-03,1.680000,
1.153000e-03,2.720000,1.153000e-03,0.002000,1.153000e-03,1.680000,
1.153500e-03,2.720000,1.153500e-03,0.000000,1.153500e-03,1.680000,
1.154000e-03,2.720000,1.154000e-03,0.002000,1.154000e-03,1.680000,
1.154500e-03,2.760000,1.154500e-03,0.000000,1.154500e-03,1.680000,
1.155000e-03,2.720000,1.155000e-03,0.000000,1.155000e-03,1.680000,
1.155500e-03,2.720000,1.155500e-03,0.004000,1.155500e-03,1.680000,
1.156000e-03,2.720000,1.156000e-03,-0.004000,1.156000e-03,1.680000,
1.156500e-03,2.760000,1.156500e-03,0.002000,1.156500e-03,1.680000,
1.157000e-03,2.760000,1.157000e-03,0.004000,1.157000e-03,1.680000,
1.157500e-03,2.720000,1.157500e-03,0.002000,1.157500e-03,1.680000,
1.158000e-03,2.720000,1.158000e-03,0.002000,1.158000e-03,1.680000,
1.158500e-03,2.760000,1.158500e-03,-0.004000,1.158500e-03,1.680000,
1.159000e-03,2.760000,1.159000e-03,-0.006000,1.159000e-03,1.680000,
1.159500e-03,2.760000,1.159500e-03,-0.004000,1.159500e-03,1.680000,
1.160000e-03,2.720000,1.160000e-03,0.000000,1.160000e-03,1.680000,
1.160500e-03,2.720000,1.160500e-03,-0.004000,1.160500e-03,1.680000,
