Type;FSVR-7;
Version;2.23 SP1;
Date;22.Sep 21;
Mode;ANALYZER;
Center Freq;199978.130000;Hz
Freq Offset;0.000000;Hz
Span;0.000000;Hz
x-Axis;LIN;
Start;199978.130000;Hz
Stop;199978.130000;Hz
Ref Level;-14.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;50.000000;Hz
VBW;50.000000;Hz
SWT;30.000000;s
Trace Mode;VIEW;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;s;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;32001;
0;-83.736091613769531;-83.736091613769531
0.00093749999999999997;-84.731735229492188;-84.731735229492188
0.0018749999999999999;-85.627113342285156;-85.627113342285156
0.0028124999999999999;-86.728546142578125;-86.728546142578125
0.0037499999999999999;-88.040641784667969;-88.040641784667969
0.0046874999999999998;-89.500251770019531;-89.500251770019531
0.0056249999999999998;-90.86590576171875;-90.86590576171875
0.0065624999999999998;-91.759269714355469;-91.759269714355469
0.0074999999999999997;-91.924400329589844;-91.924400329589844
0.0084375000000000006;-91.461982727050781;-91.461982727050781
0.0093750000000000014;-90.769927978515625;-90.769927978515625
0.010312500000000002;-89.997138977050781;-89.997138977050781
0.011250000000000003;-89.245414733886719;-89.245414733886719
0.012187500000000004;-88.577125549316406;-88.577125549316406
0.013125000000000005;-88.027023315429687;-88.027023315429687
0.014062500000000006;-87.607688903808594;-87.607688903808594
0.015000000000000006;-87.318321228027344;-87.318321228027344
0.015937500000000007;-87.150230407714844;-87.150230407714844
0.016875000000000008;-87.092750549316406;-87.092750549316406
0.017812500000000009;-87.103256225585938;-87.103256225585938
0.01875000000000001;-87.201072692871094;-87.201072692871094
0.019687500000000011;-87.401039123535156;-87.401039123535156
0.020625000000000011;-87.705558776855469;-87.705558776855469
0.021562500000000012;-88.107902526855469;-88.107902526855469
0.022500000000000013;-88.576957702636719;-88.576957702636719
0.023437500000000014;-88.817710876464844;-88.817710876464844
0.024375000000000015;-89.256492614746094;-89.256492614746094
0.025312500000000016;-89.560882568359375;-89.560882568359375
0.026250000000000016;-89.65679931640625;-89.65679931640625
0.027187500000000017;-89.492622375488281;-89.492622375488281
0.028125000000000018;-89.2003173828125;-89.2003173828125
0.029062500000000019;-88.829307556152344;-88.829307556152344
0.03000000000000002;-88.415916442871094;-88.415916442871094
0.030937500000000021;-87.982048034667969;-87.982048034667969
0.031875000000000021;-87.53582763671875;-87.53582763671875
0.032812500000000022;-87.079193115234375;-87.079193115234375
0.033750000000000023;-86.612930297851562;-86.612930297851562
0.034687500000000024;-86.1370849609375;-86.1370849609375
0.035625000000000025;-85.657394409179688;-85.657394409179688
0.036562500000000026;-85.178993225097656;-85.178993225097656
0.037500000000000026;-84.712486267089844;-84.712486267089844
0.038437500000000027;-84.266242980957031;-84.266242980957031
0.039375000000000028;-83.851943969726563;-83.851943969726563
0.040312500000000029;-83.478958129882813;-83.478958129882813
0.04125000000000003;-83.1593017578125;-83.1593017578125
0.042187500000000031;-82.902481079101563;-82.902481079101563
0.043125000000000031;-82.720085144042969;-82.720085144042969
0.044062500000000032;-82.623641967773438;-82.623641967773438
0.045000000000000033;-82.612213134765625;-82.612213134765625
0.045937500000000034;-82.674354553222656;-82.674354553222656
0.046875000000000035;-82.866569519042969;-82.866569519042969
0.047812500000000036;-83.215896606445313;-83.215896606445313
0.048750000000000036;-83.756210327148438;-83.756210327148438
0.049687500000000037;-84.527793884277344;-84.527793884277344
0.050625000000000038;-85.568893432617188;-85.568893432617188
