ADC Channel - Charge distribution	Counts - Charge distribution
-63,5	1
-61,5	2
-60,5	3
-59,5	2
-58,5	2
-57,5	2
-56,5	6
-55,5	7
-54,5	7
-53,5	11
-52,5	15
-51,5	22
-50,5	21
-49,5	40
-48,5	61
-47,5	65
-46,5	101
-45,5	142
-44,5	175
-43,5	276
-42,5	329
-41,5	434
-40,5	526
-39,5	716
-38,5	858
-37,5	1106
-36,5	1382
-35,5	1722
-34,5	2133
-33,5	2618
-32,5	3185
-31,5	3943
-30,5	4860
-29,5	5748
-28,5	6964
-27,5	8327
-26,5	9958
-25,5	11908
-24,5	14196
-23,5	16660
-22,5	19486
-21,5	22803
-20,5	26659
-19,5	30849
-18,5	35576
-17,5	40845
-16,5	47598
-15,5	54596
-14,5	61795
-13,5	70555
-12,5	79347
-11,5	88697
-10,5	99780
-9,5	109913
-8,5	120706
-7,5	132184
-6,5	141898
-5,5	151662
-4,5	162134
-3,5	169289
-2,5	176760
-1,5	181450
-0,5	185362
0,5	188394
1,5	187448
2,5	184983
3,5	180366
4,5	175162
5,5	167671
6,5	159294
7,5	149165
8,5	138680
9,5	127490
10,5	116376
11,5	104919
12,5	95404
13,5	85164
14,5	74953
15,5	66238
16,5	58037
17,5	50501
18,5	43547
19,5	38064
20,5	32303
21,5	27701
22,5	23754
23,5	20068
24,5	16967
25,5	14179
26,5	11857
27,5	10063
28,5	8023
29,5	6760
30,5	5568
31,5	4696
32,5	3880
33,5	3239
34,5	2659
35,5	2106
36,5	1704
37,5	1454
38,5	1133
39,5	1001
40,5	799
41,5	718
42,5	641
43,5	534
44,5	493
45,5	471
46,5	404
47,5	404
48,5	355
49,5	389
50,5	316
51,5	336
52,5	324
53,5	300
54,5	295
55,5	292
56,5	293
57,5	269
58,5	283
59,5	323
60,5	270
61,5	290
62,5	315
63,5	257
64,5	285
65,5	303
66,5	260
67,5	300
68,5	284
69,5	299
70,5	287
71,5	282
72,5	278
73,5	272
74,5	263
75,5	250
76,5	260
77,5	296
78,5	277
79,5	301
80,5	279
81,5	242
82,5	265
83,5	286
84,5	265
85,5	276
86,5	285
87,5	300
88,5	278
89,5	268
90,5	261
91,5	267
92,5	294
93,5	306
94,5	279
95,5	270
96,5	295
97,5	329
98,5	270
99,5	288
100,5	276
101,5	271
102,5	286
103,5	287
104,5	317
105,5	297
106,5	335
107,5	332
108,5	321
109,5	403
110,5	355
111,5	340
112,5	368
113,5	386
114,5	353
115,5	370
116,5	413
117,5	407
118,5	447
119,5	424
120,5	449
121,5	452
122,5	474
123,5	459
124,5	526
125,5	542
126,5	580
127,5	638
128,5	626
129,5	627
130,5	703
131,5	677
132,5	772
133,5	783
134,5	826
135,5	897
136,5	921
137,5	931
138,5	969
139,5	972
140,5	1032
141,5	1076
142,5	1074
143,5	1058
144,5	1095
145,5	1075
146,5	1103
147,5	1102
148,5	1061
149,5	1097
150,5	1042
151,5	1005
152,5	1012
153,5	844
154,5	863
155,5	876
156,5	817
157,5	815
158,5	697
159,5	747
160,5	589
161,5	545
162,5	499
163,5	481
164,5	425
165,5	399
166,5	327
167,5	286
168,5	289
169,5	239
170,5	211
171,5	180
172,5	188
173,5	147
174,5	129
175,5	142
176,5	113
177,5	102
178,5	110
179,5	81
180,5	71
181,5	70
182,5	73
183,5	67
184,5	63
185,5	48
186,5	54
187,5	38
188,5	39
189,5	37
190,5	54
191,5	35
192,5	36
193,5	37
194,5	30
195,5	40
196,5	28
197,5	41
198,5	38
199,5	31
200,5	34
201,5	25
202,5	43
203,5	25
204,5	38
205,5	45
206,5	33
207,5	46
208,5	28
209,5	37
210,5	34
211,5	38
212,5	34
213,5	28
214,5	28
215,5	25
216,5	17
217,5	24
218,5	28
219,5	26
220,5	24
221,5	21
222,5	23
223,5	24
224,5	22
225,5	32
226,5	24
227,5	28
228,5	26
229,5	22
230,5	28
231,5	22
232,5	21
233,5	19
234,5	25
235,5	26
236,5	19
237,5	22
238,5	20
239,5	19
240,5	21
241,5	23
242,5	22
243,5	18
244,5	16
245,5	11
246,5	26
247,5	24
248,5	9
249,5	11
250,5	20
251,5	19
252,5	24
253,5	17
254,5	16
255,5	16
256,5	19
257,5	13
258,5	21
259,5	24
260,5	16
261,5	26
262,5	19
263,5	20
264,5	20
265,5	14
266,5	17
267,5	16
268,5	21
269,5	16
270,5	11
271,5	14
272,5	16
273,5	18
274,5	19
275,5	24
276,5	21
277,5	25
278,5	20
279,5	20
280,5	14
281,5	23
282,5	18
283,5	21
284,5	19
285,5	27
286,5	25
287,5	31
288,5	28
289,5	23
290,5	32
291,5	26
292,5	25
293,5	23
294,5	23
295,5	28
296,5	34
297,5	25
298,5	23
299,5	30
300,5	23
301,5	21
302,5	26
303,5	26
304,5	22
305,5	17
306,5	22
307,5	24
308,5	19
309,5	30
310,5	14
311,5	14
312,5	19
313,5	17
314,5	18
315,5	16
316,5	12
317,5	8
318,5	9
319,5	4
320,5	5
321,5	9
322,5	6
323,5	4
324,5	4
325,5	3
326,5	10
327,5	4
328,5	3
329,5	3
330,5	2
331,5	2
332,5	2
333,5	3
334,5	5
335,5	2
336,5	2
337,5	1
338,5	4
339,5	2
340,5	1
341,5	1
342,5	6
343,5	1
344,5	1
346,5	1
347,5	2
348,5	2
349,5	2
350,5	4
351,5	2
352,5	3
354,5	1
355,5	5
356,5	3
357,5	3
358,5	1
360,5	3
361,5	4
362,5	4
363,5	1
364,5	1
365,5	1
366,5	1
367,5	1
368,5	2
369,5	2
370,5	1
372,5	2
373,5	2
374,5	3
376,5	4
378,5	2
379,5	2
380,5	2
381,5	1
382,5	2
383,5	2
384,5	2
385,5	1
386,5	3
